,Endo_id,Transported hormone,Target receptor
550,ENT00683,ENH00043,ENR00089
551,ENT00684,ENH00043,ENR00090
552,ENT00685,ENH00192,ENR00696
553,ENT00686,ENH00023,ENR00093
554,ENT00687,ENH00377,ENR00872
555,ENT00688,ENH00244,ENR00632
556,ENT00689,ENH00244,ENR00631
557,ENT00690,ENH00730,ENR00620
558,ENT00691,ENH00476,ENR01128
559,ENT00692,ENH00476,ENR01127
560,ENT00693,ENH00749,ENR01129
561,ENT00694,ENH00740,ENR01127
562,ENT00695,ENH00740,ENR01024
563,ENT00697,ENH00476,ENR01085
564,ENT00698,ENH00476,ENR01133
565,ENT00699,ENH00476,ENR01136
566,ENT00700,ENH00476,ENR01137
567,ENT00701,ENH00476,ENR01138
568,ENT00703,ENH00476,ENR01140
569,ENT00704,ENH00476,ENR01141
570,ENT00705,ENH00476,ENR01142
571,ENT00710,ENH00761,ENR00669
572,ENT00711,ENH00761,ENR00668
573,ENT00712,ENH00269,ENR00845
574,ENT00713,ENH00516,ENR00845
575,ENT00714,ENH00760,ENR00668
576,ENT00715,ENH00476,ENR01143
577,ENT00716,ENH00454,ENR01143
578,ENT00717,ENH00476,ENR01144
579,ENT00718,ENH00231,ENR00667
580,ENT00719,ENH00758,ENR00667
581,ENT00720,ENH00736,ENR00898
582,ENT00721,ENH00226,ENR00727
583,ENT00722,ENH00226,ENR00728
584,ENT00723,ENH00226,ENR00917
585,ENT00724,ENH00748,ENR01105
586,ENT00725,ENH00748,ENR01150
587,ENT00726,ENH00748,ENR01149
588,ENT00727,ENH00809,ENR01163
589,ENT00729,ENH00825,ENR01150
590,ENT00730,ENH00825,ENR01151
591,ENT00731,ENH00825,ENR01143
592,ENT00732,ENH00825,ENR01166
593,ENT00733,ENH00826,ENR01167
594,ENT00734,ENH00827,ENR01167
595,ENT00735,ENH00826,ENR01150
596,ENT00736,ENH00826,ENR01151
597,ENT00737,ENH00826,ENR01143
598,ENT00738,ENH00826,ENR01159
599,ENT00739,ENH00827,ENR01159
600,ENT00740,ENH00827,ENR01150
601,ENT00741,ENH00827,ENR01151
602,ENT00742,ENH00827,ENR01143
603,ENT00743,ENH00826,ENR01165
604,ENT00744,ENH00827,ENR01165
605,ENT00745,ENH00822,ENR01149
606,ENT00746,ENH00822,ENR01159
607,ENT00747,ENH00822,ENR01168
608,ENT00748,ENH00542,ENR01169
609,ENT00749,ENH00543,ENR01169
610,ENT00750,ENH00548,ENR01018
611,ENT00751,ENH00549,ENR01018
612,ENT00752,ENH00459,ENR01018
613,ENT00754,ENH00545,ENR01169
614,ENT00755,ENH00417,ENR01169
615,ENT00756,ENH00417,ENR00604
616,ENT00757,ENH00454,ENR01149
617,ENT00758,ENH00826,ENR01149
618,ENT00759,ENH00832,ENR01149
619,ENT00760,ENH00823,ENR01149
620,ENT00761,ENH00824,ENR01149
621,ENT00762,ENH00795,ENR01149
622,ENT00763,ENH00825,ENR01159
623,ENT00764,ENH00823,ENR01159
624,ENT00765,ENH00824,ENR01159
625,ENT00766,ENH00832,ENR01159
626,ENT00767,ENH00825,ENR01168
627,ENT00768,ENH00823,ENR01168
628,ENT00769,ENH00826,ENR01168
629,ENT00770,ENH00823,ENR01143
630,ENT00771,ENH00832,ENR01143
631,ENT00772,ENH00825,ENR01019
632,ENT00773,ENH00825,ENR01165
633,ENT00774,ENH00795,ENR01165
634,ENT00775,ENH00836,ENR01151
635,ENT00776,ENH00454,ENR01105
636,ENT00777,ENH00838,ENR01152
637,ENT00778,ENH00767,ENR01105
638,ENT00779,ENH00841,ENR00657
639,ENT00780,ENH00841,ENR01173
640,ENT00781,ENH00841,ENR01174
641,ENT00782,ENH00841,ENR01172
642,ENT00783,ENH00841,ENR01171
643,ENT00784,ENH00841,ENR01170
644,ENT00785,ENH00366,ENR01025
645,ENT00786,ENH00367,ENR01025
646,ENT00787,ENH00369,ENR01025
647,ENT00788,ENH00297,ENR00700
648,ENT00789,ENH00417,ENR01177
649,ENT00792,ENH00862,ENR00720
650,ENT00793,ENH00867,ENR00720
651,ENT00794,ENH00318,ENR01000
652,ENT00795,ENH00082,ENR00808
653,ENT00796,ENH00620,ENR00786
654,ENT00797,ENH00619,ENR00785
655,ENT00798,ENH00620,ENR00785
656,ENT00801,ENH00324,ENR00852
657,ENT00803,ENH00270,ENR01178
658,ENT00804,ENH00258,ENR01178
659,ENT00805,ENH00843,ENR00657
660,ENT00806,ENH00843,ENR01170
661,ENT00807,ENH00454,ENR01180
662,ENT00808,ENH00451,ENR01180
663,ENT00809,ENH00453,ENR01180
664,ENT00810,ENH00462,ENR01180
665,ENT00811,ENH00871,ENR01180
666,ENT00816,ENH00872,ENR01182
667,ENT00817,ENH00867,ENR00708
668,ENT00818,ENH00867,ENR01000
669,ENT00819,ENH00316,ENR01000
670,ENT00820,ENH00318,ENR00708
671,ENT00821,ENH00861,ENR00708
672,ENT00822,ENH00861,ENR01000
673,ENT00823,ENH00899,ENR01186
674,ENT00824,ENH00899,ENR01185
675,ENT00825,ENH00899,ENR01184
676,ENT00826,ENH00904,ENR01187
677,ENT00827,ENH00902,ENR01187
678,ENT00828,ENH00905,ENR01187
679,ENT00829,ENH00909,ENR00781
680,ENT00830,ENH00910,ENR00781
681,ENT00831,ENH00920,ENR00737
682,ENT00832,ENH00919,ENR00737
683,ENT00833,ENH00920,ENR00738
684,ENT00834,ENH00919,ENR00738
685,ENT00835,ENH00920,ENR00739
686,ENT00836,ENH00919,ENR00739
687,ENT00837,ENH00920,ENR00920
688,ENT00838,ENH00919,ENR00920
689,ENT00839,ENH00920,ENR00921
690,ENT00840,ENH00919,ENR00921
691,ENT00841,ENH00926,ENR01189
692,ENT00842,ENH00925,ENR01190
693,ENT00843,ENH00200,ENR01190
694,ENT00844,ENH00924,ENR01190
695,ENT00845,ENH00578,ENR01190
696,ENT00846,ENH00928,ENR01191
697,ENT00847,ENH00928,ENR01192
698,ENT00848,ENH00929,ENR00280
699,ENT00849,ENH00930,ENR00280
700,ENT00850,ENH00933,ENR01193
701,ENT00851,ENH00931,ENR01158
702,ENT00852,ENH00933,ENR01194
703,ENT00853,ENH00933,ENR01195
704,ENT00854,ENH00935,ENR01190
705,ENT00855,ENH00936,ENR01190
706,ENT00856,ENH00941,ENR01188
707,ENT00858,ENH00273,ENR01176
708,ENT00859,ENH00942,ENR01188
709,ENT00860,ENH00841,ENR01175
710,ENT00861,ENH00451,ENR01164
711,ENT00862,ENH00261,ENR00277
712,ENT00863,ENH00944,ENR00277
713,ENT00864,ENH00929,ENR00274
714,ENT00865,ENH00580,ENR00274
715,ENT00866,ENH00317,ENR01200
716,ENT00867,ENH00315,ENR01200
717,ENT00868,ENH00314,ENR01200
718,ENT00869,ENH00315,ENR01190
719,ENT00870,ENH00314,ENR01190
720,ENT00871,ENH00317,ENR01190
721,ENT00872,ENH00316,ENR01190
722,ENT00873,ENH00067,ENR01198
723,ENT00874,ENH00442,ENR01198
724,ENT00875,ENH00535,ENR01046
725,ENT00882,ENH00487,ENR01032
726,ENT00891,ENH00486,ENR01032
727,ENT00897,ENH00486,ENR01031
728,ENT00898,ENH00467,ENR01020
729,ENT00899,ENH00453,ENR01017
730,ENT00900,ENH00946,ENR01017
731,ENT00901,ENH00166,ENR01012
732,ENT00902,ENH00947,ENR01008
733,ENT00903,ENH00080,ENR01008
734,ENT00904,ENH00948,ENR01007
735,ENT00905,ENH00948,ENR01005
736,ENT00906,ENH00941,ENR00996
737,ENT00907,ENH00743,ENR00990
738,ENT00908,ENH00743,ENR00989
739,ENT00909,ENH00743,ENR00988
740,ENT00910,ENH00181,ENR00986
741,ENT00911,ENH00181,ENR00985
742,ENT00912,ENH00057,ENR00977
743,ENT00913,ENH00127,ENR00939
744,ENT00914,ENH00096,ENR01201
745,ENT00917,ENH00949,ENR01202
746,ENT00918,ENH00585,ENR01202
747,ENT00919,ENH00950,ENR01202
748,ENT00920,ENH00933,ENR00047
749,ENT00922,ENH00951,ENR01158
750,ENT00923,ENH00844,ENR00152
751,ENT00924,ENH00540,ENR00824
752,ENT00925,ENH00807,ENR00118
753,ENT00926,ENH00807,ENR00122
754,ENT00927,ENH00952,ENR00265
755,ENT00928,ENH00953,ENR01204
756,ENT00929,ENH00542,ENR01204
757,ENT00930,ENH00225,ENR00635
758,ENT00931,ENH00366,ENR01026
759,ENT00932,ENH00367,ENR01026
760,ENT00933,ENH00160,ENR01205
761,ENT00934,ENH00105,ENR00865
762,ENT00935,ENH00106,ENR00865
763,ENT00936,ENH00072,ENR01206
764,ENT00937,ENH00934,ENR01206
765,ENT00938,ENH00073,ENR01206
766,ENT00939,ENH00976,ENR01209
767,ENT00940,ENH00977,ENR01209
768,ENT00941,ENH00977,ENR01210
769,ENT00942,ENH00977,ENR01212
770,ENT00943,ENH00978,ENR01212
771,ENT00944,ENH00737,ENR01212
772,ENT00945,ENH00231,ENR01212
773,ENT00946,ENH00979,ENR01209
774,ENT00947,ENH00212,ENR01211
775,ENT00948,ENH00213,ENR01211
776,ENT00949,ENH00223,ENR01211
777,ENT00950,ENH00976,ENR01166
778,ENT00951,ENH00977,ENR01166
779,ENT00952,ENH00979,ENR01166
780,ENT00953,ENH00978,ENR01166
781,ENT00954,ENH00965,ENR00604
782,ENT00956,ENH00301,ENR01215
783,ENT00957,ENH00990,ENR01051
784,ENT00958,ENH00991,ENR01051
785,ENT00959,ENH00993,ENR01051
786,ENT00960,ENH00992,ENR01051
787,ENT00961,ENH00993,ENR00753
788,ENT00962,ENH00992,ENR00753
789,ENT00963,ENH00991,ENR00753
790,ENT00964,ENH00990,ENR00753
791,ENT00965,ENH00993,ENR01053
792,ENT00966,ENH00992,ENR01053
793,ENT00967,ENH00991,ENR01053
794,ENT00968,ENH00990,ENR01053
795,ENT00969,ENH00994,ENR01051
796,ENT00970,ENH00994,ENR00753
797,ENT00971,ENH00994,ENR01053
798,ENT00972,ENH00995,ENR01051
799,ENT00973,ENH00995,ENR00753
800,ENT00974,ENH00995,ENR01053
801,ENT00975,ENH00997,ENR01051
802,ENT00976,ENH00997,ENR00753
803,ENT00977,ENH00997,ENR01053
804,ENT00978,ENH00998,ENR01051
805,ENT00979,ENH00998,ENR00753
806,ENT00980,ENH00998,ENR01053
807,ENT00981,ENH01000,ENR01051
808,ENT00982,ENH01000,ENR00753
809,ENT00983,ENH01000,ENR01053
810,ENT00984,ENH00999,ENR01051
811,ENT00985,ENH00999,ENR00753
812,ENT00986,ENH00999,ENR01053
813,ENT00987,ENH01001,ENR01053
814,ENT00988,ENH01004,ENR01051
815,ENT00989,ENH01003,ENR01051
816,ENT00990,ENH01003,ENR01216
817,ENT00991,ENH01007,ENR00061
818,ENT00992,ENH01007,ENR00960
819,ENT00993,ENH01045,ENR01218
820,ENT00994,ENH01047,ENR01218
821,ENT00995,ENH00246,ENR01219
822,ENT00997,ENH01052,ENR00825
823,ENT00998,ENH01054,ENR01221
824,ENT00999,ENH01053,ENR01221
825,ENT01000,ENH01054,ENR01222
826,ENT01001,ENH01053,ENR01222
827,ENT01002,ENH01053,ENR01223
828,ENT01003,ENH01054,ENR01223
829,ENT01004,ENH01053,ENR01224
830,ENT01005,ENH01054,ENR01224
831,ENT01006,ENH01054,ENR01225
832,ENT01007,ENH01055,ENR01221
833,ENT01008,ENH01055,ENR01222
834,ENT01009,ENH01055,ENR01223
835,ENT01010,ENH01055,ENR01224
836,ENT01011,ENH01063,ENR01226
837,ENT01012,ENH00415,ENR01227
838,ENT01013,ENH00415,ENR00981
839,ENT01016,ENH01065,ENR00061
840,ENT01017,ENH00439,ENR01228
841,ENT01018,ENH01074,ENR00999
842,ENT01021,ENH01076,ENR00928
843,ENT01022,ENH00141,ENR00955
844,ENT01023,ENH00539,ENR00765
845,ENT01024,ENH00540,ENR00766
846,ENT01025,ENH01052,ENR00826
847,ENT01026,ENH01081,ENR00825
848,ENT01027,ENH01081,ENR00826
849,ENT01028,ENH01082,ENR00825
850,ENT01029,ENH01082,ENR00826
851,ENT01030,ENH01083,ENR00826
852,ENT01031,ENH01083,ENR00825
853,ENT01033,ENH01085,ENR01246
854,ENT01035,ENH01086,ENR01246
855,ENT01036,ENH00697,ENR01247
856,ENT01037,ENH00698,ENR01247
857,ENT01038,ENH00699,ENR00711
858,ENT01039,ENH00698,ENR00711
859,ENT01040,ENH00699,ENR01251
860,ENT01041,ENH00699,ENR01247
861,ENT01042,ENH00697,ENR00711
862,ENT01044,ENH00551,ENR00584
863,ENT01045,ENH00691,ENR00424
864,ENT01046,ENH00691,ENR00701
865,ENT01047,ENH00246,ENR00057
866,ENT01048,ENH00226,ENR00114
867,ENT01049,ENH00226,ENR01271
868,ENT01050,ENH00226,ENR00115
869,ENT01051,ENH00226,ENR00116
870,ENT01052,ENH00226,ENR00117
871,ENT01053,ENH00246,ENR00926
872,ENT01054,ENH00246,ENR01272
873,ENT01055,ENH00246,ENR01273
874,ENT01056,ENH00246,ENR01274
875,ENT01057,ENH00246,ENR01275
876,ENT01058,ENH00246,ENR01276
877,ENT01059,ENH00246,ENR01277
878,ENT01060,ENH00246,ENR01278
879,ENT01061,ENH00246,ENR01279
880,ENT01062,ENH00246,ENR01280
881,ENT01063,ENH00246,ENR01281
882,ENT01064,ENH00943,ENR00279
883,ENT01065,ENH00943,ENR01282
884,ENT01066,ENH00357,ENR00284
885,ENT01067,ENH00337,ENR00394
886,ENT01068,ENH01113,ENR01296
887,ENT01069,ENH00246,ENR01298
888,ENT01070,ENH00246,ENR01299
889,ENT01071,ENH00246,ENR01301
890,ENT01072,ENH00246,ENR01300
891,ENT01075,ENH00649,ENR01302
892,ENT01077,ENH00582,ENR01159
893,ENT01081,ENH01121,ENR00579
894,ENT01082,ENH00962,ENR01304
895,ENT01083,ENH01122,ENR01177
896,ENT01084,ENH00030,ENR00865
897,ENT01085,ENH00135,ENR01206
898,ENT01087,ENH00294,ENR01206
899,ENT01088,ENH00049,ENR01308
900,ENT01089,ENH00141,ENR00737
901,ENT01090,ENH00141,ENR00920
902,ENT01091,ENH00141,ENR00921
903,ENT01092,ENH00225,ENR00897
904,ENT01093,ENH00268,ENR00612
905,ENT01094,ENH00267,ENR00612
906,ENT01095,ENH00807,ENR01315
907,ENT01096,ENH01126,ENR00668
908,ENT01097,ENH00453,ENR01152
909,ENT01098,ENH00580,ENR01069
910,ENT01099,ENH00522,ENR01318
911,ENT01100,ENH00522,ENR01149
912,ENT01101,ENH00535,ENR01045
913,ENT01102,ENH01131,ENR00755
914,ENT01103,ENH01131,ENR00757
915,ENT01104,ENH01113,ENR00756
916,ENT01105,ENH01113,ENR00758
917,ENT01106,ENH01131,ENR00759
918,ENT01107,ENH01131,ENR01319
919,ENT01108,ENH01131,ENR01320
920,ENT01109,ENH01113,ENR01265
921,ENT01110,ENH01113,ENR01321
922,ENT01111,ENH01131,ENR01322
923,ENT01112,ENH01132,ENR01323
924,ENT01113,ENH01133,ENR01323
925,ENT01114,ENH01133,ENR01324
926,ENT01115,ENH01133,ENR01325
927,ENT01116,ENH01132,ENR01325
928,ENT01117,ENH01113,ENR01326
929,ENT01118,ENH01133,ENR01322
930,ENT01119,ENH01133,ENR00755
931,ENT01120,ENH01133,ENR00759
932,ENT01121,ENH01133,ENR00757
933,ENT01122,ENH01133,ENR01319
934,ENT01123,ENH01133,ENR01320
935,ENT01124,ENH01145,ENR01317
936,ENT01125,ENH00586,ENR00901
937,ENT01126,ENH01146,ENR00595
938,ENT01127,ENH01074,ENR00851
939,ENT01128,ENH01147,ENR00734
940,ENT01129,ENH00271,ENR01336
941,ENT01130,ENH00225,ENR01237
942,ENT01131,ENH01148,ENR01237
943,ENT01132,ENH00743,ENR00058
944,ENT01133,ENH00665,ENR01337
945,ENT01134,ENH00201,ENR00935
946,ENT01135,ENH00398,ENR00685
947,ENT01136,ENH00398,ENR00688
948,ENT01137,ENH00398,ENR00837
949,ENT01138,ENH00450,ENR01338
950,ENT01139,ENH00922,ENR01339
951,ENT01141,ENH00250,ENR00705
952,ENT01142,ENH00249,ENR00633
953,ENT01143,ENH00522,ENR01028
954,ENT01144,ENH00688,ENR01090
955,ENT01145,ENH01043,ENR01090
956,ENT01146,ENH00709,ENR00690
957,ENT01147,ENH00713,ENR00690
958,ENT01148,ENH00714,ENR00931
959,ENT01149,ENH00714,ENR00841
960,ENT01150,ENH00451,ENR01152
961,ENT01151,ENH00582,ENR01152
962,ENT01152,ENH00582,ENR01164
963,ENT01153,ENH00179,ENR00675
964,ENT01154,ENH00248,ENR01086
965,ENT01155,ENH00260,ENR01086
966,ENT01156,ENH01149,ENR01086
967,ENT01157,ENH01149,ENR00425
968,ENT01158,ENH01150,ENR00572
969,ENT01159,ENH00669,ENR01340
970,ENT01160,ENH00670,ENR01340
971,ENT01161,ENH01151,ENR00644
972,ENT01162,ENH00299,ENR00698
973,ENT01163,ENH00652,ENR00698
974,ENT01164,ENH00655,ENR00698
975,ENT01165,ENH00652,ENR00699
976,ENT01166,ENH00655,ENR00699
977,ENT01167,ENH00299,ENR00699
978,ENT01168,ENH00652,ENR00700
979,ENT01169,ENH00655,ENR00700
980,ENT01170,ENH00299,ENR00700
981,ENT01171,ENH00604,ENR00819
982,ENT01172,ENH00604,ENR00821
983,ENT01173,ENH00684,ENR00820
984,ENT01174,ENH00684,ENR00819
985,ENT01175,ENH00684,ENR00821
986,ENT01176,ENH00685,ENR00819
987,ENT01177,ENH00685,ENR00821
988,ENT01178,ENH00685,ENR00820
989,ENT01179,ENH00685,ENR00626
990,ENT01180,ENH00685,ENR00623
991,ENT01181,ENH00685,ENR00624
992,ENT01182,ENH00685,ENR00625
993,ENT01183,ENH00551,ENR00585
994,ENT01184,ENH00551,ENR00583
995,ENT01185,ENH00551,ENR00586
996,ENT01186,ENH00628,ENR01109
997,ENT01187,ENH00695,ENR00874
998,ENT01188,ENH00696,ENR01025
999,ENT01189,ENH00291,ENR00680
1000,ENT01190,ENH01153,ENR00420
1001,ENT01191,ENH01154,ENR00890
1002,ENT01192,ENH00309,ENR01341
1003,ENT01193,ENH00309,ENR01342
1004,ENT01194,ENH00309,ENR01343
1005,ENT01195,ENH00308,ENR01343
1006,ENT01196,ENH00466,ENR00579
1007,ENT01197,ENH00174,ENR00780
1008,ENT01198,ENH00178,ENR00780
1009,ENT01199,ENH00531,ENR00712
1010,ENT01200,ENH00529,ENR00712
1011,ENT01201,ENH00622,ENR01182
1012,ENT01202,ENH00054,ENR01182
1013,ENT01203,ENH00621,ENR01182
1014,ENT01204,ENH00623,ENR01182
1015,ENT01205,ENH00681,ENR00654
1016,ENT01206,ENH00681,ENR01003
1017,ENT01207,ENH00680,ENR00654
1018,ENT01208,ENH00680,ENR01003
1019,ENT01209,ENH00765,ENR01013
1020,ENT01210,ENH00765,ENR01344
1021,ENT01211,ENH00446,ENR01344
1022,ENT01212,ENH00288,ENR00840
1023,ENT01213,ENH00806,ENR01345
1024,ENT01214,ENH00559,ENR00670
1025,ENT01215,ENH00563,ENR00670
1026,ENT01216,ENH00559,ENR00667
1027,ENT01217,ENH00531,ENR00440
1028,ENT01218,ENH00175,ENR00780
1029,ENT01219,ENH00175,ENR00781
1030,ENT01220,ENH00221,ENR01346
1031,ENT01221,ENH00694,ENR01347
1032,ENT01222,ENH00373,ENR01025
1033,ENT01223,ENH00373,ENR01026
1034,ENT01224,ENH00579,ENR00885
1035,ENT01225,ENH00368,ENR01025
1036,ENT01226,ENH00368,ENR00884
1037,ENT01227,ENH00368,ENR00885
1038,ENT01228,ENH00305,ENR00698
1039,ENT01229,ENH00305,ENR01348
1040,ENT01230,ENH00227,ENR01349
1041,ENT01231,ENH00304,ENR01348
1042,ENT01232,ENH00227,ENR00698
1043,ENT01233,ENH00227,ENR00699
1044,ENT01234,ENH00227,ENR00702
1045,ENT01235,ENH00295,ENR00698
1046,ENT01236,ENH00295,ENR00700
1047,ENT01237,ENH00576,ENR01164
1048,ENT01238,ENH00280,ENR00669
1049,ENT01239,ENH00274,ENR00669
1050,ENT01240,ENH00882,ENR01216
1051,ENT01241,ENH00356,ENR01216
1052,ENT01242,ENH01123,ENR01216
1053,ENT01243,ENH00575,ENR00639
1054,ENT01244,ENH00576,ENR01152
1055,ENT01245,ENH00575,ENR01152
1056,ENT01246,ENH00575,ENR01105
1057,ENT01247,ENH00283,ENR00627
1058,ENT01248,ENH00283,ENR00846
1059,ENT01249,ENH00283,ENR00656
1060,ENT01250,ENH00704,ENR00935
1061,ENT01251,ENH00163,ENR01350
1062,ENT01252,ENH00336,ENR00682
1063,ENT01253,ENH00701,ENR01352
1064,ENT01254,ENH00701,ENR01351
1065,ENT01255,ENH00702,ENR00710
1066,ENT01256,ENH00702,ENR01352
1067,ENT01257,ENH00702,ENR01351
1068,ENT01258,ENH00237,ENR00711
1069,ENT01259,ENH00894,ENR00711
1070,ENT01260,ENH00894,ENR01352
1071,ENT01261,ENH00587,ENR01006
1072,ENT01262,ENH00938,ENR00918
1073,ENT01263,ENH00320,ENR00633
1074,ENT01264,ENH00320,ENR00632
1075,ENT01265,ENH00320,ENR00705
1076,ENT01266,ENH00391,ENR00682
1077,ENT01267,ENH00711,ENR01353
1078,ENT01268,ENH00215,ENR00837
1079,ENT01269,ENH00215,ENR01354
1080,ENT01270,ENH00752,ENR01355
1081,ENT01271,ENH01021,ENR00730
1082,ENT01272,ENH00915,ENR01185
1083,ENT01273,ENH01152,ENR00820
1084,ENT01274,ENH00473,ENR00923
1085,ENT01275,ENH01089,ENR00590
1086,ENT01276,ENH01108,ENR00689
1087,ENT01277,ENH00461,ENR01152
1088,ENT01278,ENH00281,ENR01022
1089,ENT01279,ENH00756,ENR01356
1090,ENT01280,ENH00490,ENR00580
1091,ENT01281,ENH00490,ENR00520
1092,ENT01282,ENH00490,ENR01031
1093,ENT01283,ENH00371,ENR01027
1094,ENT01284,ENH00511,ENR00668
